ENSEMBL,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000272631.1,RP11-359E3.4,56.88793867,0.013225363,0.631261827,0.020950677,0.983285001,0.990820356
ENSG00000227176.1,AC092641.2,1.982146937,-0.01325739,1.168088768,-0.011349643,0.99094449,0.995209133
ENSG00000143337.18,TOR1AIP1,1227.036277,-0.013319801,0.251245433,-0.053015099,0.957719878,0.977692517
ENSG00000139546.10,TARBP2,520.3897418,0.013373886,0.211502902,0.063232636,0.949581257,0.973920025
ENSG00000107372.12,ZFAND5,7903.207642,0.013403789,0.423846666,0.031624147,0.974771786,0.986487537
ENSG00000235082.2,SUMO1P3,4.079955973,0.013441759,0.784732997,0.017129087,0.986333635,0.99268942
ENSG00000179611.3,DGKZP1,18.89448013,0.013454907,0.410238707,0.032797752,0.973835871,0.986040669
ENSG00000157538.13,DSCR3,1112.56668,-0.013510304,0.248057797,-0.054464338,0.956565221,0.977113247
ENSG00000107669.17,ATE1,738.2646232,0.013536153,0.298587149,0.045334012,0.963841078,0.981180096
ENSG00000123191.14,ATP7B,230.0377189,-0.01354776,0.293324256,-0.046186976,0.963161223,0.980790912
ENSG00000261338.2,RP11-378A13.1,59.29106223,0.013636563,0.342698625,0.039791706,0.968259188,0.983210551
ENSG00000216368.2,RP3-486D24.1,3.243205311,0.013688957,1.320735339,0.010364648,0.991730355,0.995619198
ENSG00000214223.4,HNRNPA1P10,64.67495205,0.013826585,0.3964946,0.034872063,0.972181757,0.985296627
ENSG00000149016.15,TUT1,583.9771375,0.013845931,0.277966657,0.04981148,0.960272618,0.978768601
ENSG00000079691.17,CARMIL1,780.9460417,0.013860931,0.355903256,0.038945784,0.968933614,0.983607598
ENSG00000187257.15,RSBN1L,478.4882923,0.013902783,0.324467252,0.042848032,0.965822675,0.982188818
ENSG00000216937.13,CCDC7,75.67747629,0.013993203,0.279963973,0.049982155,0.960136609,0.978730537
ENSG00000143553.10,SNAPIN,538.5183462,0.014000114,0.219127853,0.063890163,0.949057685,0.973572363
ENSG00000126870.15,WDR60,551.8028074,0.014032918,0.199019408,0.070510301,0.943787502,0.971325191
ENSG00000166483.10,WEE1,1013.779333,-0.014074526,0.527671434,-0.026672897,0.978720631,0.988693803
ENSG00000215347.3,SLC25A5P1,18.48376333,0.014253708,0.482835501,0.029520837,0.976449201,0.987269101
ENSG00000257950.3,P2RX5-TAX1BP3,27.22679446,0.014317924,0.652870079,0.02193074,0.982503204,0.990655355
ENSG00000241360.1,PDXP,313.6340562,0.01438881,0.501080333,0.028715574,0.977091435,0.98762305
ENSG00000057608.16,GDI2,2880.619098,-0.014427314,0.2175836,-0.066306994,0.947133415,0.972554329
ENSG00000089916.17,GPATCH2L,991.6768358,-0.014451537,0.225368747,-0.064123964,0.948871521,0.973495001
ENSG00000101558.13,VAPA,3063.088426,0.014595786,0.278796979,0.052352741,0.95824763,0.977869595
ENSG00000176472.10,ZNF575,30.58542613,0.014665331,0.429150353,0.034172943,0.972739242,0.98552074
ENSG00000263272.1,CTC-524C5.2,356.086879,-0.01476627,0.387344444,-0.038121806,0.969590566,0.983956252
ENSG00000113300.11,CNOT6,706.8624449,-0.014809761,0.241259958,-0.061385077,0.951052537,0.974623467
ENSG00000167632.14,TRAPPC9,545.5989098,0.014913451,0.244519212,0.060990915,0.951366444,0.974803121
ENSG00000228307.1,OR2S1P,9.949233015,-0.014959686,1.457292778,-0.010265395,0.991809544,0.995660791
ENSG00000163159.12,VPS72,602.2768424,0.015032966,0.155727354,0.096533883,0.923096565,0.960807437
ENSG00000118557.15,PMFBP1,49.61517587,0.015110366,0.498489029,0.030312333,0.97581796,0.986952947
ENSG00000186310.9,NAP1L3,111.3858535,0.015162626,0.425322626,0.035649705,0.971561675,0.98497834
ENSG00000114302.15,PRKAR2A,860.9296598,-0.015179901,0.295450359,-0.051378854,0.959023635,0.978219731
