"","GeneName","logFC","logCPM","LR","PValue","FDR","Cl19_1_S4","Cl19_2_S5","Cl19_3_S6","Fl_1_S1","Fl_2_S2","Fl_3_S3"
"ENSMUSG00000034371","Tkfc",0.606389960341595,4.83787528861566,30.2238215898064,3.84952158139661e-08,1.3669807558121e-07,5.09138363589511,5.27997481581373,5.15150250542127,4.33883460043949,4.49267428335294,4.37264837048281
"ENSMUSG00000030172","Erc1",0.466079919261115,5.97073034493016,30.2131186175885,3.87082363007548e-08,1.37409125494324e-07,6.04031974262717,6.26889960406792,6.34530602375435,5.66952082598889,5.69985081691884,5.62898388688577
"ENSMUSG00000025962","Fastkd2",-0.496760879552485,5.49203232851903,30.206197405681,3.88466170418464e-08,1.37854832150151e-07,5.37323756850239,5.14644815448793,5.0733184116578,5.71771987622361,5.75411622814041,5.71770192141105
"ENSMUSG00000027185","Nat10",-0.571687910225816,6.77686829814791,30.202010523405,3.89305688551296e-08,1.38107156641514e-07,6.72712670146656,6.33953415355888,6.39731518506293,7.008667137312,7.04845726992169,6.96830766915674
"ENSMUSG00000039568","Ubald1",0.687562381560387,4.04996342526623,30.1772329553972,3.94311215585291e-08,1.39836729011095e-07,4.42951396857118,4.47826119076099,4.23140240610364,3.52322692638277,3.55422926567796,3.79020948635022
"ENSMUSG00000046139","Patl1",0.43691843882938,6.94713071905455,30.1340357250329,4.03192544765519e-08,1.4293920394738e-07,7.16894509945227,7.04750040092642,7.12062155039576,6.77239060937606,6.78459025976776,6.72111619129502
"ENSMUSG00000022555","Dgat1",0.642822781976529,5.0390442038355,30.1038748663791,4.09512153266175e-08,1.45131755207983e-07,5.67160959215989,5.14644815448793,5.24471910188142,4.60906099464551,4.58170749845956,4.61933523369378
"ENSMUSG00000070520","Nsmce3",-0.501499768315395,5.20813326448128,30.0938503584749,4.11634486625089e-08,1.45835830479007e-07,4.92045237539932,4.97556398339548,4.91947333895177,5.37218377820919,5.46088305011279,5.46648935416959
"ENSMUSG00000032666","1700025G04Rik",0.472097842900666,5.31921372548604,30.0843361108415,4.13658982173447e-08,1.4650479075395e-07,5.52086678690993,5.62824340749199,5.66270345811687,4.96620590961254,4.94307193304855,4.99012114733058
"ENSMUSG00000018189","Uchl5",-0.521409494181858,6.1370076812995,30.0821787214379,4.1411942939104e-08,1.46619556868389e-07,5.70559563752836,6.00841187395726,5.93679331064048,6.36768679188947,6.36864913276162,6.30640929212548
"ENSMUSG00000032258","Lca5",-0.667318874590312,4.11406808215443,30.0798656830676,4.14613666849417e-08,1.46746206946473e-07,3.92390387814302,3.7694754271143,3.99567236297276,4.26892390701862,4.20071419137962,4.41680446796738
"ENSMUSG00000000278","Scpep1",0.484804070527485,7.29764007628345,30.0198822105084,4.27639050943746e-08,1.51306522666041e-07,7.33483305912882,7.62252390737427,7.57373979271029,7.04014773948808,6.98299428661359,7.10024534586257
"ENSMUSG00000042046","Dstyk",0.628698523490037,4.72884572741973,29.9968266967556,4.32753925386977e-08,1.53065875089984e-07,4.94064744525194,5.11963708485691,5.16079131343415,4.20755843946217,4.40494195383053,4.21277788769436
"ENSMUSG00000027804","Ppid",-0.450349837320412,7.61058914003351,29.9818159507217,4.36116963053627e-08,1.5420464591656e-07,7.39264396834183,7.23571313148097,7.22430596127337,7.85526435662968,7.89969705224204,7.86854954325958
"ENSMUSG00000037287","Tbcel",0.46628434284178,5.58085645468123,29.9522411890137,4.42819761181558e-08,1.56523170435402e-07,5.82238446334971,5.82584646611829,5.9067435838697,5.30278088908741,5.2196824273105,5.22244691920961
"ENSMUSG00000020646","Mboat2",-0.482394446215947,5.34857709174229,29.9310979476402,4.47674824015843e-08,1.58187267697117e-07,5.1419038590956,5.12503930757121,5.28350372877335,5.52608407018732,5.45859137552088,5.49637595677439
"ENSMUSG00000055053","Nfic",0.468066872592156,6.39886003661845,29.9272641979431,4.48560851881854e-08,1.58448261481369e-07,6.55340736645013,6.74648063473791,6.66493803137539,6.02118731590666,6.09090296673133,6.14515069509637
"ENSMUSG00000020224","Llph",-0.810078077003354,3.39444148111674,29.9234789309529,4.49437398477257e-08,1.58705735750067e-07,3.31567099419344,3.16055540295888,2.79909726270504,3.47195713550419,3.62132878428792,3.78179240239832
"ENSMUSG00000022400","Rbx1",0.430058873209806,6.48959692552968,29.9200685421631,4.50228604775415e-08,1.58932915360622e-07,6.7068619565675,6.63919099549805,6.60268325067312,6.30032465973989,6.26623694319862,6.36040051892627
"ENSMUSG00000022283","Pabpc1",0.632164273384211,10.9961818854046,29.9006843800962,4.54752288706407e-08,1.60477096234575e-07,10.9399443389466,11.2436496760281,11.2125034094688,10.8233536843087,10.8463943688341,10.8457776434491
"ENSMUSG00000032366","Tpm1",0.572481902120709,10.1082311505981,29.8998072563528,4.54958056629618e-08,1.60497018402093e-07,10.2447584013045,10.3193022799653,10.3156196776608,9.88468219494182,9.89899868434677,9.90288916226963
"ENSMUSG00000068922","Msto1",-0.529048219894534,5.78522091751312,29.8622502760221,4.63856762166133e-08,1.63582556972564e-07,5.47367143558946,5.63709301887959,5.49779553695739,5.90481523954266,6.0126158123507,6.06590824805636
