"","GeneName","logFC","logCPM","LR","PValue","FDR","Fl_1_S1","Fl_2_S2","Fl_3_S3","Fl_gHira_1_S7","Fl_gHira_2_S8","Fl_gHira_3_S9"
"ENSMUSG00000035919","Bbs9",0.109687091731584,3.17019600830467,1.68814899777281,0.193845151812733,0.216350201953891,3.27550362325415,3.28727449052878,3.35343469477638,2.96614328383102,2.96717115503042,3.07334744019838
"ENSMUSG00000027602","Map1lc3a",-0.0787952128537368,4.23927270319727,1.67839569540427,0.195137763300261,0.217769666772246,4.11145657434203,4.11132659878991,4.30778085596485,4.28930833550814,4.38066479098208,4.26141551421954
"ENSMUSG00000063019","Manbal",-0.0624282155616532,5.22015424043905,1.67794749224052,0.195197405887207,0.217813008125471,5.2380939374165,5.30492485346666,5.31098619744355,5.18849175628877,5.15702582569785,5.11154049467772
"ENSMUSG00000032366","Tpm1",-0.0938350631914978,9.88548437546121,1.6709317163369,0.196133785214725,0.218834551573373,9.88578743818678,9.90011817637133,9.90393410501921,9.81691030886579,9.88782497043382,9.91578405751151
"ENSMUSG00000078789","Dph1",0.0807625829546573,4.14857411675695,1.66981262607562,0.196283633531667,0.218978405737747,4.16213942975977,4.10840371376787,4.21071807367787,4.22259830890978,4.05828046089502,4.12056101419222
"ENSMUSG00000031783","Polr2c",-0.0527393548409089,6.27745249596189,1.66758223822611,0.196582686892767,0.219288667989384,6.3093280465044,6.30103475775369,6.3991109192063,6.24661635570081,6.24138765101139,6.1602174963477
"ENSMUSG00000040272","Accs",0.119228228478313,3.02513857703712,1.6652586943312,0.196894798647494,0.219613429260666,3.06256543233276,3.16881584524068,2.97914389851245,2.94265049948458,3.01226764955335,2.96055392842971
"ENSMUSG00000061079","Zfp143",-0.08312632114729,4.88529972040236,1.65747384164933,0.197944746116667,0.220761004271374,4.87311267579215,4.92937940434905,5.04672553061085,4.73450186979072,4.9290905223206,4.7930711539331
"ENSMUSG00000073639","Rab18",-0.0467687562617324,6.50256328077693,1.65460388067001,0.198333474855468,0.221170978724105,6.56848196718332,6.56629837579614,6.5179829849597,6.371365319657,6.45652837461793,6.51366059775386
"ENSMUSG00000068823","Csde1",0.0554728501763874,8.67165678071129,1.65316998408506,0.198528027901556,0.221364354468142,8.68017419073811,8.68296875001795,8.6203752515471,8.59814596616769,8.67482648549827,8.76509777786592
"ENSMUSG00000036822","Topors",0.0521786094704588,6.51370742078499,1.64916470634271,0.199072657154708,0.221947992305925,6.44241129299172,6.48073432303071,6.4458433478265,6.50100014635629,6.58297879953486,6.62046104358733
"ENSMUSG00000064337","mt-Rnr1",-0.115151217503229,8.70755988148352,1.64460925863728,0.199694230783034,0.222617282724692,8.71485845280864,8.85238767546305,8.51044552284061,8.81675783770805,8.76025153202786,8.56030519584963
"ENSMUSG00000050552","Lamtor4",0.0624893086645999,4.98697071587575,1.6320790272365,0.201415730880345,0.224512487924439,5.00252240290249,4.92440222127475,4.92770115939771,5.04877847048626,4.9844552229264,5.02621754457293
"ENSMUSG00000026519","Tmem63a",0.0694620701900426,4.89741462294055,1.62997197087409,0.201706925417722,0.224813137676794,4.97726944183491,4.88907269751915,4.90655005706632,4.967689314177,4.83934317905951,4.79755605161578
"ENSMUSG00000027634","Ndrg3",-0.068092239586173,5.3876216531714,1.62849750586178,0.201910990599976,0.225016623439551,5.38934539885852,5.41192338755873,5.54050846457283,5.39876939100194,5.26344331906883,5.30455531381458
"ENSMUSG00000082286","Pisd-ps1",-0.169658523641099,2.45346109527095,1.62443183309578,0.202474937359576,0.225621087729366,2.46248003924611,2.77067529512125,2.72171602195492,2.28372033147371,2.0514195626373,2.24313729967499
"ENSMUSG00000020594","Pum2",0.0443445060862405,7.82260502822154,1.61751633442818,0.203438447328625,0.2266706156964,7.79205183473301,7.86706241570885,7.82109617197908,7.79283377780662,7.78311387287616,7.87373235038167
"ENSMUSG00000057863","Rpl36",-0.0785380684562065,8.18471009488056,1.61682997381169,0.203534369605412,0.226753359093227,8.0894596955113,8.0465130699212,8.13210015609473,8.33231248055443,8.44127263442126,8.03118446965504
"ENSMUSG00000056486","Chn1",0.0692740695495891,5.2022040970396,1.61398568276564,0.20393244174164,0.227172667864783,5.19614734958808,5.2568992044377,5.21101269317758,5.15821494613331,5.27828848345948,5.12230660239969
"ENSMUSG00000019173","Rab5c",0.0470444582651247,7.4472285100806,1.61298415455382,0.204072828780908,0.22730486695471,7.39224502614866,7.41332783351136,7.42374537534636,7.43352386283245,7.47256318555758,7.54188281482726
"ENSMUSG00000017664","Slc35c2",-0.0518442523177251,5.92834274035548,1.61137822970221,0.204298173664174,0.227531657456408,5.99320117890031,6.01061560800582,5.96183190386398,5.8892294731755,5.8561756115811,5.84343683112202
"ENSMUSG00000029432","Nipsnap2",-0.0551210405006095,5.55120758836466,1.60753222277823,0.204839042730326,0.228109768997318,5.61623437390663,5.56261176656524,5.60995763363663,5.46072528192554,5.51446884141342,5.52791730363483
"ENSMUSG00000025049","Taf5",0.064263667795155,5.11932011788122,1.59914153998165,0.206024909460744,0.229405953748621,5.0571060845052,5.06521278975117,5.11369493892611,5.21324593515564,5.17696748268782,5.10431819439387
"ENSMUSG00000042523","Dnal1",-0.0921462641704082,3.93073522194389,1.59818171939882,0.206161078038443,0.229533162393328,4.11403345333352,4.06684908936393,3.87286723499893,3.8202223512287,3.76874467141185,3.85108611747736
"ENSMUSG00000029480","Dhx37",-0.0428126686541345,6.88596888760519,1.5943625462245,0.206703953345438,0.230113110120523,6.91395106588689,6.93092777725634,6.92892392477276,6.87908880951443,6.83658236513385,6.82138651853937
