"","GeneName","logFC","logCPM","LR","PValue","FDR","Cl19_1_S4","Cl19_2_S5","Cl19_3_S6","Cl19_gHira_1_S10","Cl19_gHira_2_S11","Cl19_gHira_3_S12"
"ENSMUSG00000071180","Smim15",-0.0567193195666243,5.46599928957666,0.480413393046522,0.488235126218456,0.607621622189824,5.57407904938314,5.52463418448519,5.43307789084071,5.37234597170255,5.47438137833027,5.40952753215783
"ENSMUSG00000095315","Gm10130",0.107763596645055,2.43407465832436,0.480364694380429,0.488257171488813,0.607621622189824,2.7599023665043,2.3051557457481,2.36795781693048,2.48022908155495,2.34277369140016,2.23647092603559
"ENSMUSG00000067071","Hes6",0.074055343366877,4.31709136331482,0.479483127643957,0.488656531869337,0.608030392128847,4.30133276036549,4.35820868403832,4.14065348741853,4.26060286084877,4.45775455671918,4.37005915881974
"ENSMUSG00000045795","Whamm",0.0842087509065119,3.34721861603844,0.479387254332025,0.488699996381912,0.608030392128847,3.48226002028503,3.30733194847372,3.24007912399299,3.2554947629845,3.38696908324936,3.39678569827908
"ENSMUSG00000041161","Otud3",-0.0817041792254588,3.91297515250418,0.47865297267722,0.489033098978157,0.608373651676851,3.98551707003417,4.04516710542018,3.94302826356381,3.87443863713281,3.74911317165346,3.86622302119653
"ENSMUSG00000005882","Uqcc1",0.0561324241244147,6.12352083344136,0.478028039186645,0.489316894146449,0.608655497994308,6.05945097176343,6.17935624474458,6.12282038082587,6.16898735540435,6.11088617383269,6.0963332160965
"ENSMUSG00000067336","Bmpr2",0.0627115879898327,6.47487580641684,0.477593941737323,0.489514188160868,0.608813175702037,6.33894932289803,6.35593531749708,6.67819731437124,6.41901608180555,6.44588685408868,6.58120743074748
"ENSMUSG00000022974","Paxbp1",-0.139563496813095,6.52143210340109,0.477497233771636,0.489558159246578,0.608813175702037,7.14424700880575,6.13183863477295,6.25159062724561,6.5261812000711,6.41541572457968,6.41363815960071
"ENSMUSG00000014313","Cox6c",-0.064319075323666,7.17022222871766,0.476314268597363,0.490096561778699,0.609411463745871,7.35171631713469,7.12436865487599,7.10693366297281,7.05816603674985,7.24307219046281,7.11575804414339
"ENSMUSG00000032245","Cln6",0.075127389840977,4.80385772577472,0.475972256721507,0.490252405476553,0.609533974025215,4.71264379760736,4.93534310483451,4.75363726746764,4.74718547908114,4.84201527138128,4.82911755433118
"ENSMUSG00000025436","Atp23",0.104101743511053,2.65682574595197,0.474949084841521,0.490719125546606,0.610042925071617,2.96803787457202,2.5062538646011,2.51042880337906,2.57126917061958,2.78549592529811,2.50983799352963
"ENSMUSG00000045817","Zfp36l2",0.062382197155277,7.34080456353826,0.474094175834066,0.491109661435573,0.610457058995427,7.17441688252149,7.32510355978526,7.38808619752749,7.33192656320783,7.37627817973687,7.43614461812131
"ENSMUSG00000025223","Ldb1",0.0676724480376533,7.210068456313,0.473403281216154,0.491425652394971,0.610714839154256,7.44741313636856,7.0505729191831,7.01984333809122,7.24472308134541,7.22262316356043,7.23089437609886
"ENSMUSG00000045294","Insig1",0.0590466078997285,5.92388979242877,0.473389617593405,0.491431905082092,0.610714839154256,5.91455180702408,5.88564173924716,5.90515851410005,5.82425738346866,6.04888241853222,5.95715636563603
"ENSMUSG00000045165","AI467606",0.0706741142526392,4.71436356777231,0.473122973234736,0.491553952324987,0.610795130757644,4.67046172280345,4.69737250601355,4.69941637709345,4.76361255335291,4.75355986558592,4.69755593447271
