"TF","Cl19_1_S4","Cl19_2_S5","Cl19_3_S6","Fl_1_S1","Fl_2_S2","Fl_3_S3","Mean_ Cl19","Mean_ Fl","Mean_TFChange","p.val","p.adj"
"Jun",-0.27814181184998,1.8764385743542,2.22810114516155,-0.641678973881322,-2.22480254185666,-1.18211696415766,1.27546596922192,-1.34953282663188,2.6249987958538,0.0575752331155673,0.186141691414841
"Jund",0.7070232422555,1.51186510153927,0.23685465481806,-0.535727464480311,-1.45032517697463,-1.42481154872225,0.818580999537611,-1.13695473005906,1.95553572959668,0.016391301905566,0.118895602749724
"Klf4",-0.577048690943935,1.04101245769724,2.11930235950489,-0.791006347402714,-1.03686080682367,-0.26187300751605,0.861088708752733,-0.696580053914143,1.55766876266688,0.177838859321662,0.297420161279331
"Kmt2a",2.13953144824238,-0.142537532338459,-2.22576911248294,0.206947546085972,1.32917787676521,-1.88609336354084,-0.0762583988596735,-0.116655980229884,0.0403975813702109,0.980844097627934,0.980844097627934
"Lef1",-0.167775174543526,1.4658058422229,-0.516339343952027,1.00745975166017,-1.7250146422524,-0.483631870602667,0.260563774575781,-0.400395587064968,0.660959361640749,0.54637611381799,0.654302259757346
"Mitf",-0.314705722575054,-0.55066494978249,1.7220773933279,0.242801496834833,0.318181477045041,-0.307030607748276,0.285568906990118,0.0846507887105326,0.200918118279586,0.810450177544039,0.893337127520134
"Myb",-0.859960057930678,-0.119395753039075,1.44251198042276,0.143197551744587,-0.452753906542337,0.309150447398633,0.154385389817669,-0.0001353024663725,0.154520692284042,0.845959959177552,0.901737538903545
"Myc",-4.79826023087972,0.39366379679542,-3.1467530858632,2.24723098559221,1.57160726451392,4.36345002373987,-2.51711650664916,2.72742942461533,-5.2445459312645,0.0551094070279472,0.186141691414841
"Mycn",-2.61774829111168,1.31360778606973,-0.313093864196226,0.359120964791078,0.0403944558828455,1.4940532206969,-0.539078123079392,0.631189547123607,-1.170267670203,0.419257597841794,0.549567391765595
"Nfatc2",-0.54944853437673,-0.0964504938826665,-1.86929779061567,1.83558805814377,0.0608962192450309,1.76378940557699,-0.83839893962502,1.22009122765526,-2.05849016728028,0.0594885817923719,0.186141691414841
"Nfic",-1.12223399819485,0.223862659184494,-0.479961552809996,1.18839205363714,0.0176551861238416,1.35472596035182,-0.459444297273451,0.853591066704265,-1.31303536397772,0.0840587848477843,0.209069285390643
"Nfkb1",0.889266041636104,0.873784363524576,0.948105988823534,-0.884166044647095,-1.77906943506982,-0.074446543850804,0.903718797994738,-0.912560674522574,1.81627947251731,0.0659485541759475,0.188182572914636
"Nfkb2",-0.562962557302328,-0.537445519470435,-0.834418818363045,0.268671341688776,0.937458125265592,-0.270246453312674,-0.644942298378603,0.311961004547231,-0.956903302925834,0.102573975486966,0.22083832920678
"Nr3c1",1.1697503321371,0.805670822766718,1.02135251617834,-2.92681683209762,-1.10267498312717,0.539951491491153,0.998924557027386,-1.16318010791121,2.1621046649386,0.162046874342146,0.285791760203421
"Pax6",-0.550354502562103,-0.473980224813781,0.981629650120243,0.166027370753399,0.405460963984007,-0.433490646219414,-0.0142350257518803,0.0459992295059975,-0.0602342552578778,0.920887994095957,0.943734650345533
"Pax8",0.941214793417397,0.737146177624298,2.34118968502071,-1.72593048483298,-0.949720803969561,-2.07471379005619,1.33985021868747,-1.58345502628624,2.92330524497371,0.0119806024763727,0.116211844020816
"Pgr",0.270410517361904,1.30036615974242,2.61870091536329,-1.38075503712009,-2.20964698175773,-0.564182435720143,1.39649253082254,-1.38486148486599,2.78135401568853,0.033710573467824,0.172101348756786
"Pou2f1",0.617682941716678,1.48453629345708,2.16995564832453,-1.11400951349893,-1.9117514847419,-1.57852246060819,1.42405829449943,-1.53476115294967,2.95881944744911,0.0100039767568016,0.107820638378861
"Ppara",-0.822930733536137,-0.0617593943089745,0.20094676206308,0.835087260320391,0.23262422366246,0.524167298821747,-0.227914455260677,0.530626260934866,-0.758540716195543,0.116070206061026,0.22083832920678
"Pparg",-0.185469075278917,-1.74970027158015,-0.99913576230182,0.748538825656674,2.08228517942765,1.04596218011415,-0.978101703053629,1.29226206173283,-2.27036376478646,0.0204655356432839,0.131566702758113
"Rara",0.11676095579242,1.01951187355344,1.97241447629271,-1.15292388644885,-2.06364228292962,-0.620746329065281,1.03622910187953,-1.27910416614792,2.31533326802744,0.0297453777677591,0.16029453574848
"Rel",0.276849858131664,0.554548158318902,0.61956334063235,-0.0923909440215866,-0.655399247722533,-0.58567918511096,0.483653785694306,-0.444489792285027,0.928143577979332,0.017160190087589,0.118895602749724
"Rela",0.0223424283648219,-0.648662990043799,-0.0709706950401026,1.60643130365327,-0.890197358830277,1.28772504096406,-0.23243041890636,0.667986328595686,-0.900416747502045,0.370508364324722,0.512791248662226
